Atlético GO	50	50	55	30	49.5	16.5	44.45	12.55	36.9	5.9	49.6	13.6	44.4	3.7	54.9	1.0	34.5	1.0	18.7	1.0	24	1	1	1	26	1	1	2	29	2	1	2	31	1	1	2	24	0	1	4	30	1	1	1	30	2	1	1	22	0	1	1	23	1	1	3	25	1	8	0	18	0	4	2	27	1	13	0	27	1	12	1	38	3	9	1	45	1	7	2	58	2	10	0	63	2	4	2	67	1	1	3	59	0	1	1	52	0	1	1	52	1	1	1	42	0	1	1	45	2	1	3	45	2	11	0	50	2	9	1	53	1	9	1	60	1	8	1
Atlético MG	50	50	55	45	59	38	67.8	30.8	62.0	36.7	66.3	40.4	59.8	26.6	49.9	21.6	69.8	24.4	70.8	30.9	88	3	28	1	92	1	24	1	86	0	20	1	86	2	13	1	77	0	10	2	77	1	5	2	81	2	13	0	81	0	13	2	73	0	13	2	79	2	22	0	80	1	21	2	88	2	18	1	91	1	16	1	98	1	9	1	99	1	1	3	99	2	9	0	99	1	19	0	99	1	16	1	99	2	11	3	99	2	7	3	91	0	17	0	99	1	13	3	99	3	1	2	99	2	1	2	99	1	1	1	99	3	11	0	99	2	6	2
Atlético-PR	50	50	60	20	55.5	12	60.55	8.4	55.0	5.3	56.5	4.2	50.1	1.0	52.7	7.0	50.5	5.4	66.7	7.2	57	0	7	1	57	1	6	1	52	0	4	2	71	2	4	2	66	0	11	0	59	0	8	2	59	1	16	0	88	5	19	0	92	1	29	0	93	4	27	1	85	0	36	0	78	0	33	2	80	1	28	1	80	3	27	1	79	0	24	1	69	0	24	2	71	2	16	2	72	1	14	2	75	3	14	2	76	3	14	2	67	0	23	0	63	0	22	1	62	0	20	1	65	1	29	0	67	1	23	2	79	3	21	1	71	0	16	1
Avaí	50	50	45	55	39.5	44	34.7	36.1	36.2	43.6	29.8	39.8	34.4	34.9	34.8	18.3	24.5	32.2	26.5	38.6	19	0	47	0	27	2	56	0	31	1	40	4	33	1	38	1	32	0	48	0	37	1	58	0	31	0	58	2	23	0	38	5	20	0	46	0	22	1	52	0	22	1	52	1	23	1	60	0	25	1	68	0	27	1	67	1	31	1	66	1	22	0	55	2	24	1	47	2	14	0	45	1	18	1	44	1	21	1	44	1	34	2	37	2	26	0	27	4	27	1	27	2	27	0	25	1	39	2	22	2	48	2	22	1	50	1	30	0
Bahia	50	50	80	40	83	29	77.7	24.6	81.5	29.0	86.4	34.8	80.6	34.7	75.2	43.3	89.5	15.0	78.6	9.0	70	0	13	0	70	1	13	1	79	3	21	0	83	1	14	1	86	2	22	0	82	0	8	3	84	1	6	3	84	1	4	1	84	2	3	1	87	1	1	4	89	3	7	0	94	1	1	2	95	1	1	1	91	0	1	1	95	1	9	0	96	1	5	1	99	2	2	2	99	2	11	0	99	1	5	4	99	1	1	4	99	1	1	1	99	2	9	0	99	2	2	1	99	2	2	2	99	3	1	1	89	0	1	1	82	0	1	1
Botafogo	50	50	45	40	56	47	58.9	55.3	53.5	61.8	46.5	57.3	57.8	52.2	66.0	40.0	65.4	62.1	59.9	42.6	57	0	42	1	60	1	41	1	60	1	51	0	66	2	51	1	57	0	58	0	57	1	50	1	60	3	38	4	64	1	38	2	59	0	46	0	62	1	56	0	66	1	48	2	67	2	47	1	75	2	56	0	94	2	64	0	97	3	53	2	99	2	43	3	99	2	42	1	90	0	39	1	95	1	30	1	99	1	22	1	90	0	32	0	90	1	30	2	90	2	29	1	82	0	25	1	83	1	14	2	73	0	24	0	66	0	24	2
Chapecoense	50	50	55	45	60.5	52	69.3	55.95	80.5	62.2	94.8	47.9	99.0	38.2	99.0	35.5	94.2	29.8	90.1	4.7	90	3	4	3	91	1	1	1	83	0	1	3	84	2	9	0	79	0	4	1	79	2	1	1	79	1	1	2	80	1	1	1	71	0	1	2	71	0	1	1	77	2	10	0	72	0	2	1	78	1	1	2	82	1	10	0	83	1	18	0	85	1	14	1	89	1	14	2	82	0	13	1	87	3	13	2	90	3	13	2	81	0	21	0	81	1	20	1	82	2	20	2	98	2	30	0	98	2	30	1	99	1	25	1	99	1	34	0
Corinthians	50	50	55	45	60.5	49.5	62.15	54.45	69.7	60.4	78.3	51.9	95.3	45.6	99.0	50.9	89.8	54.2	98.8	73.0	99	1	79	0	99	2	87	0	99	2	95	0	99	2	85	2	93	0	89	0	93	1	99	0	98	1	98	1	99	2	99	0	99	3	99	1	99	1	99	0	90	0	94	1	80	0	86	1	79	0	78	2	81	1	84	0	81	1	84	1	87	1	83	1	90	3	79	1	80	0	79	2	75	0	86	0	71	0	92	0	62	0	89	1	76	3	89	2	78	1	95	0	81	1	98	0	81	3	98	1	75	0	94	3	77	2	94	2
Coritiba	50	50	70	45	63.5	41	68.55	44.95	69.4	51.0	74.2	56.3	85.7	45.6	79.2	53.6	80.3	55.1	68.9	47.2	70	2	44	2	61	0	42	3	83	4	35	1	84	1	33	2	75	0	22	4	81	1	19	2	72	0	14	2	72	2	13	1	72	2	21	0	62	0	13	1	60	0	19	0	52	0	15	1	55	1	13	1	47	0	11	1	60	2	9	3	61	1	9	1	69	1	5	3	63	0	2	1	70	1	12	0	76	1	21	0	76	4	17	3	91	4	20	0	91	2	20	2	93	1	17	1	98	1	26	0	88	0	26	3	89	1	23	2
Cruzeiro	50	50	55	55	58	49.5	62.2	55.95	57.8	49.8	50.7	48.0	53.4	52.9	48.0	52.4	68.5	52.6	72.4	57.6	75	1	49	3	91	3	47	1	92	2	53	0	98	1	50	1	98	1	50	1	93	0	43	1	83	0	47	0	83	3	54	0	77	0	60	0	77	2	57	3	82	2	66	0	91	1	61	1	91	2	58	1	91	1	68	0	93	2	62	1	99	1	60	1	99	1	67	0	99	2	65	1	89	0	61	1	80	0	58	1	90	2	57	2	92	1	64	0	86	0	62	2	86	3	62	1	91	2	47	2	91	1	47	1	84	0	46	1
